donut number = 2, In-ptr =  1, serial-counter =  1
donut number = 2, In-ptr =  14, serial-counter =  574
donut number = 3, In-ptr =  35, serial-counter =  555
donut number = 3, In-ptr =  36, serial-counter =  556
donut number = 1, In-ptr =  29, serial-counter =  589
donut number = 0, In-ptr =  5, serial-counter =  565
donut number = 1, In-ptr =  30, serial-counter =  590
donut number = 1, In-ptr =  31, serial-counter =  591
donut number = 2, In-ptr =  15, serial-counter =  575
donut number = 1, In-ptr =  32, serial-counter =  592
donut number = 3, In-ptr =  37, serial-counter =  557
donut number = 0, In-ptr =  6, serial-counter =  566
donut number = 0, In-ptr =  7, serial-counter =  567
donut number = 3, In-ptr =  38, serial-counter =  558
donut number = 2, In-ptr =  16, serial-counter =  576
donut number = 0, In-ptr =  8, serial-counter =  568
donut number = 1, In-ptr =  33, serial-counter =  593
donut number = 3, In-ptr =  39, serial-counter =  559
donut number = 3, In-ptr =  0, serial-counter =  560
donut number = 1, In-ptr =  34, serial-counter =  594
donut number = 1, In-ptr =  35, serial-counter =  595
donut number = 2, In-ptr =  17, serial-counter =  577
donut number = 2, In-ptr =  18, serial-counter =  578
donut number = 2, In-ptr =  19, serial-counter =  579
donut number = 3, In-ptr =  1, serial-counter =  561
donut number = 3, In-ptr =  2, serial-counter =  562
donut number = 0, In-ptr =  9, serial-counter =  569
donut number = 1, In-ptr =  36, serial-counter =  596
donut number = 1, In-ptr =  37, serial-counter =  597
donut number = 2, In-ptr =  20, serial-counter =  580
donut number = 2, In-ptr =  21, serial-counter =  581
donut number = 1, In-ptr =  38, serial-counter =  598
donut number = 2, In-ptr =  22, serial-counter =  582
donut number = 2, In-ptr =  23, serial-counter =  583
donut number = 1, In-ptr =  39, serial-counter =  599
donut number = 3, In-ptr =  3, serial-counter =  563
donut number = 0, In-ptr =  10, serial-counter =  570
donut number = 3, In-ptr =  4, serial-counter =  564
donut number = 0, In-ptr =  11, serial-counter =  571
donut number = 1, In-ptr =  0, serial-counter =  600
donut number = 0, In-ptr =  12, serial-counter =  572
donut number = 3, In-ptr =  5, serial-counter =  565
donut number = 1, In-ptr =  1, serial-counter =  601
donut number = 1, In-ptr =  2, serial-counter =  602
donut number = 2, In-ptr =  24, serial-counter =  584
donut number = 2, In-ptr =  25, serial-counter =  585
donut number = 0, In-ptr =  13, serial-counter =  573
donut number = 0, In-ptr =  14, serial-counter =  574
donut number = 1, In-ptr =  3, serial-counter =  603
donut number = 1, In-ptr =  4, serial-counter =  604
donut number = 1, In-ptr =  5, serial-counter =  605
donut number = 3, In-ptr =  6, serial-counter =  566
donut number = 3, In-ptr =  7, serial-counter =  567
donut number = 3, In-ptr =  8, serial-counter =  568
donut number = 1, In-ptr =  6, serial-counter =  606
donut number = 1, In-ptr =  7, serial-counter =  607
donut number = 2, In-ptr =  26, serial-counter =  586
donut number = 0, In-ptr =  15, serial-counter =  575
donut number = 1, In-ptr =  8, serial-counter =  608
donut number = 0, In-ptr =  16, serial-counter =  576
donut number = 1, In-ptr =  9, serial-counter =  609
donut number = 3, In-ptr =  9, serial-counter =  569
donut number = 3, In-ptr =  10, serial-counter =  570
donut number = 0, In-ptr =  17, serial-counter =  577
donut number = 2, In-ptr =  27, serial-counter =  587
donut number = 3, In-ptr =  11, serial-counter =  571
donut number = 1, In-ptr =  10, serial-counter =  610
donut number = 0, In-ptr =  18, serial-counter =  578
donut number = 0, In-ptr =  19, serial-counter =  579
donut number = 3, In-ptr =  12, serial-counter =  572
donut number = 0, In-ptr =  20, serial-counter =  580
donut number = 0, In-ptr =  21, serial-counter =  581
donut number = 0, In-ptr =  22, serial-counter =  582
donut number = 2, In-ptr =  28, serial-counter =  588
donut number = 2, In-ptr =  29, serial-counter =  589
donut number = 3, In-ptr =  13, serial-counter =  573
donut number = 0, In-ptr =  23, serial-counter =  583
donut number = 3, In-ptr =  14, serial-counter =  574
donut number = 0, In-ptr =  24, serial-counter =  584
donut number = 0, In-ptr =  25, serial-counter =  585
donut number = 1, In-ptr =  11, serial-counter =  611
donut number = 2, In-ptr =  30, serial-counter =  590
donut number = 0, In-ptr =  26, serial-counter =  586
donut number = 2, In-ptr =  31, serial-counter =  591
donut number = 0, In-ptr =  27, serial-counter =  587
donut number = 3, In-ptr =  15, serial-counter =  575
donut number = 3, In-ptr =  16, serial-counter =  576
donut number = 3, In-ptr =  17, serial-counter =  577
donut number = 1, In-ptr =  12, serial-counter =  612
donut number = 0, In-ptr =  28, serial-counter =  588
donut number = 2, In-ptr =  32, serial-counter =  592
donut number = 1, In-ptr =  13, serial-counter =  613
donut number = 3, In-ptr =  18, serial-counter =  578
donut number = 1, In-ptr =  14, serial-counter =  614
donut number = 3, In-ptr =  19, serial-counter =  579
donut number = 3, In-ptr =  20, serial-counter =  580
donut number = 3, In-ptr =  21, serial-counter =  581
donut number = 1, In-ptr =  15, serial-counter =  615
donut number = 3, In-ptr =  22, serial-counter =  582
donut number = 0, In-ptr =  29, serial-counter =  589
donut number = 3, In-ptr =  23, serial-counter =  583
donut number = 0, In-ptr =  30, serial-counter =  590
donut number = 0, In-ptr =  31, serial-counter =  591
donut number = 0, In-ptr =  32, serial-counter =  592
donut number = 3, In-ptr =  24, serial-counter =  584
donut number = 0, In-ptr =  33, serial-counter =  593
donut number = 1, In-ptr =  16, serial-counter =  616
donut number = 2, In-ptr =  33, serial-counter =  593
donut number = 0, In-ptr =  34, serial-counter =  594
donut number = 2, In-ptr =  34, serial-counter =  594
donut number = 2, In-ptr =  35, serial-counter =  595
donut number = 1, In-ptr =  17, serial-counter =  617
donut number = 1, In-ptr =  18, serial-counter =  618
donut number = 1, In-ptr =  19, serial-counter =  619
donut number = 2, In-ptr =  36, serial-counter =  596
donut number = 0, In-ptr =  35, serial-counter =  595
donut number = 0, In-ptr =  36, serial-counter =  596
donut number = 2, In-ptr =  37, serial-counter =  597
donut number = 2, In-ptr =  38, serial-counter =  598
donut number = 2, In-ptr =  39, serial-counter =  599
donut number = 0, In-ptr =  37, serial-counter =  597
donut number = 3, In-ptr =  25, serial-counter =  585
donut number = 1, In-ptr =  20, serial-counter =  620
donut number = 2, In-ptr =  0, serial-counter =  600
donut number = 1, In-ptr =  21, serial-counter =  621
donut number = 2, In-ptr =  1, serial-counter =  601
donut number = 3, In-ptr =  26, serial-counter =  586
donut number = 1, In-ptr =  22, serial-counter =  622
donut number = 2, In-ptr =  2, serial-counter =  602
donut number = 3, In-ptr =  27, serial-counter =  587
donut number = 3, In-ptr =  28, serial-counter =  588
donut number = 0, In-ptr =  38, serial-counter =  598
donut number = 3, In-ptr =  29, serial-counter =  589
donut number = 2, In-ptr =  3, serial-counter =  603
donut number = 1, In-ptr =  23, serial-counter =  623
donut number = 1, In-ptr =  24, serial-counter =  624
donut number = 0, In-ptr =  39, serial-counter =  599
donut number = 3, In-ptr =  30, serial-counter =  590
donut number = 0, In-ptr =  0, serial-counter =  600
donut number = 2, In-ptr =  4, serial-counter =  604
donut number = 1, In-ptr =  25, serial-counter =  625
donut number = 3, In-ptr =  31, serial-counter =  591
donut number = 0, In-ptr =  1, serial-counter =  601
donut number = 0, In-ptr =  2, serial-counter =  602
donut number = 0, In-ptr =  3, serial-counter =  603
donut number = 3, In-ptr =  32, serial-counter =  592
donut number = 0, In-ptr =  4, serial-counter =  604
donut number = 3, In-ptr =  33, serial-counter =  593
donut number = 1, In-ptr =  26, serial-counter =  626
donut number = 1, In-ptr =  27, serial-counter =  627
donut number = 1, In-ptr =  28, serial-counter =  628
donut number = 0, In-ptr =  5, serial-counter =  605
donut number = 0, In-ptr =  6, serial-counter =  606
donut number = 2, In-ptr =  5, serial-counter =  605
donut number = 0, In-ptr =  7, serial-counter =  607
donut number = 1, In-ptr =  29, serial-counter =  629
donut number = 2, In-ptr =  6, serial-counter =  606
donut number = 0, In-ptr =  8, serial-counter =  608
donut number = 2, In-ptr =  7, serial-counter =  607
donut number = 2, In-ptr =  8, serial-counter =  608
donut number = 2, In-ptr =  9, serial-counter =  609
donut number = 1, In-ptr =  30, serial-counter =  630
donut number = 1, In-ptr =  31, serial-counter =  631
donut number = 3, In-ptr =  34, serial-counter =  594
donut number = 3, In-ptr =  35, serial-counter =  595
donut number = 2, In-ptr =  10, serial-counter =  610
donut number = 1, In-ptr =  32, serial-counter =  632
donut number = 1, In-ptr =  33, serial-counter =  633
donut number = 0, In-ptr =  9, serial-counter =  609
donut number = 3, In-ptr =  36, serial-counter =  596
donut number = 1, In-ptr =  34, serial-counter =  634
donut number = 2, In-ptr =  11, serial-counter =  611
donut number = 3, In-ptr =  37, serial-counter =  597
donut number = 2, In-ptr =  12, serial-counter =  612
donut number = 1, In-ptr =  35, serial-counter =  635
donut number = 1, In-ptr =  36, serial-counter =  636
donut number = 3, In-ptr =  38, serial-counter =  598
donut number = 3, In-ptr =  39, serial-counter =  599
donut number = 3, In-ptr =  0, serial-counter =  600
donut number = 0, In-ptr =  10, serial-counter =  610
donut number = 0, In-ptr =  11, serial-counter =  611
donut number = 2, In-ptr =  13, serial-counter =  613
donut number = 1, In-ptr =  37, serial-counter =  637
donut number = 0, In-ptr =  12, serial-counter =  612
donut number = 1, In-ptr =  38, serial-counter =  638
donut number = 1, In-ptr =  39, serial-counter =  639
donut number = 1, In-ptr =  0, serial-counter =  640
donut number = 0, In-ptr =  13, serial-counter =  613
donut number = 2, In-ptr =  14, serial-counter =  614
donut number = 1, In-ptr =  1, serial-counter =  641
donut number = 0, In-ptr =  14, serial-counter =  614
donut number = 2, In-ptr =  15, serial-counter =  615
donut number = 0, In-ptr =  15, serial-counter =  615
donut number = 1, In-ptr =  2, serial-counter =  642
donut number = 0, In-ptr =  16, serial-counter =  616
donut number = 3, In-ptr =  1, serial-counter =  601
donut number = 3, In-ptr =  2, serial-counter =  602
donut number = 2, In-ptr =  16, serial-counter =  616
donut number = 3, In-ptr =  3, serial-counter =  603
donut number = 2, In-ptr =  17, serial-counter =  617
donut number = 3, In-ptr =  4, serial-counter =  604
donut number = 1, In-ptr =  3, serial-counter =  643
donut number = 1, In-ptr =  4, serial-counter =  644
donut number = 3, In-ptr =  5, serial-counter =  605
donut number = 2, In-ptr =  18, serial-counter =  618
donut number = 3, In-ptr =  6, serial-counter =  606
donut number = 2, In-ptr =  19, serial-counter =  619
donut number = 2, In-ptr =  20, serial-counter =  620
donut number = 1, In-ptr =  5, serial-counter =  645
donut number = 2, In-ptr =  21, serial-counter =  621
donut number = 1, In-ptr =  6, serial-counter =  646
donut number = 3, In-ptr =  7, serial-counter =  607
donut number = 2, In-ptr =  22, serial-counter =  622
donut number = 2, In-ptr =  23, serial-counter =  623
donut number = 0, In-ptr =  17, serial-counter =  617
donut number = 3, In-ptr =  8, serial-counter =  608
donut number = 3, In-ptr =  9, serial-counter =  609
donut number = 3, In-ptr =  10, serial-counter =  610
donut number = 2, In-ptr =  24, serial-counter =  624
donut number = 1, In-ptr =  7, serial-counter =  647
donut number = 2, In-ptr =  25, serial-counter =  625
donut number = 3, In-ptr =  11, serial-counter =  611
donut number = 2, In-ptr =  26, serial-counter =  626
donut number = 2, In-ptr =  27, serial-counter =  627
donut number = 0, In-ptr =  18, serial-counter =  618
donut number = 0, In-ptr =  19, serial-counter =  619
donut number = 2, In-ptr =  28, serial-counter =  628
donut number = 2, In-ptr =  29, serial-counter =  629
donut number = 3, In-ptr =  12, serial-counter =  612
donut number = 3, In-ptr =  13, serial-counter =  613
donut number = 1, In-ptr =  8, serial-counter =  648
donut number = 3, In-ptr =  14, serial-counter =  614
donut number = 0, In-ptr =  20, serial-counter =  620
donut number = 0, In-ptr =  21, serial-counter =  621
donut number = 1, In-ptr =  9, serial-counter =  649
donut number = 1, In-ptr =  10, serial-counter =  650
donut number = 3, In-ptr =  15, serial-counter =  615
donut number = 2, In-ptr =  30, serial-counter =  630
donut number = 1, In-ptr =  11, serial-counter =  651
donut number = 1, In-ptr =  12, serial-counter =  652
donut number = 3, In-ptr =  16, serial-counter =  616
donut number = 3, In-ptr =  17, serial-counter =  617
donut number = 3, In-ptr =  18, serial-counter =  618
donut number = 0, In-ptr =  22, serial-counter =  622
donut number = 2, In-ptr =  31, serial-counter =  631
donut number = 2, In-ptr =  0, serial-counter =  640
donut number = 1, In-ptr =  20, serial-counter =  620
donut number = 1, In-ptr =  21, serial-counter =  621
donut number = 0, In-ptr =  15, serial-counter =  655
donut number = 2, In-ptr =  1, serial-counter =  641
donut number = 0, In-ptr =  16, serial-counter =  656
donut number = 3, In-ptr =  12, serial-counter =  612
donut number = 0, In-ptr =  17, serial-counter =  657
donut number = 2, In-ptr =  2, serial-counter =  642
donut number = 2, In-ptr =  3, serial-counter =  643
donut number = 2, In-ptr =  4, serial-counter =  644
donut number = 1, In-ptr =  22, serial-counter =  622
donut number = 3, In-ptr =  13, serial-counter =  613
donut number = 1, In-ptr =  23, serial-counter =  623
donut number = 2, In-ptr =  5, serial-counter =  645
donut number = 3, In-ptr =  14, serial-counter =  614
donut number = 1, In-ptr =  24, serial-counter =  624
donut number = 3, In-ptr =  15, serial-counter =  615
donut number = 0, In-ptr =  18, serial-counter =  658
donut number = 1, In-ptr =  25, serial-counter =  625
donut number = 0, In-ptr =  19, serial-counter =  659
donut number = 2, In-ptr =  6, serial-counter =  646
donut number = 2, In-ptr =  7, serial-counter =  647
donut number = 0, In-ptr =  20, serial-counter =  660
donut number = 2, In-ptr =  8, serial-counter =  648
donut number = 3, In-ptr =  16, serial-counter =  616
donut number = 0, In-ptr =  21, serial-counter =  661
donut number = 1, In-ptr =  26, serial-counter =  626
donut number = 1, In-ptr =  27, serial-counter =  627
donut number = 3, In-ptr =  17, serial-counter =  617
donut number = 0, In-ptr =  22, serial-counter =  662
donut number = 0, In-ptr =  23, serial-counter =  663
donut number = 2, In-ptr =  9, serial-counter =  649
donut number = 2, In-ptr =  10, serial-counter =  650
donut number = 3, In-ptr =  18, serial-counter =  618
donut number = 2, In-ptr =  11, serial-counter =  651
donut number = 3, In-ptr =  19, serial-counter =  619
donut number = 3, In-ptr =  20, serial-counter =  620
donut number = 0, In-ptr =  24, serial-counter =  664
donut number = 2, In-ptr =  12, serial-counter =  652
donut number = 3, In-ptr =  21, serial-counter =  621
donut number = 2, In-ptr =  13, serial-counter =  653
donut number = 1, In-ptr =  28, serial-counter =  628
donut number = 0, In-ptr =  25, serial-counter =  665
donut number = 3, In-ptr =  22, serial-counter =  622
donut number = 2, In-ptr =  14, serial-counter =  654
donut number = 2, In-ptr =  15, serial-counter =  655
donut number = 2, In-ptr =  16, serial-counter =  656
donut number = 1, In-ptr =  29, serial-counter =  629
donut number = 2, In-ptr =  17, serial-counter =  657
donut number = 2, In-ptr =  18, serial-counter =  658
donut number = 1, In-ptr =  30, serial-counter =  630
donut number = 1, In-ptr =  31, serial-counter =  631
donut number = 3, In-ptr =  23, serial-counter =  623
donut number = 0, In-ptr =  26, serial-counter =  666
donut number = 0, In-ptr =  27, serial-counter =  667
donut number = 3, In-ptr =  24, serial-counter =  624
donut number = 3, In-ptr =  25, serial-counter =  625
donut number = 2, In-ptr =  19, serial-counter =  659
donut number = 0, In-ptr =  28, serial-counter =  668
donut number = 2, In-ptr =  20, serial-counter =  660
donut number = 1, In-ptr =  32, serial-counter =  632
donut number = 1, In-ptr =  33, serial-counter =  633
donut number = 0, In-ptr =  29, serial-counter =  669
donut number = 2, In-ptr =  21, serial-counter =  661
donut number = 1, In-ptr =  34, serial-counter =  634
donut number = 2, In-ptr =  22, serial-counter =  662
donut number = 0, In-ptr =  30, serial-counter =  670
donut number = 2, In-ptr =  23, serial-counter =  663
donut number = 3, In-ptr =  26, serial-counter =  626
donut number = 1, In-ptr =  35, serial-counter =  635
donut number = 2, In-ptr =  24, serial-counter =  664
donut number = 1, In-ptr =  36, serial-counter =  636
donut number = 0, In-ptr =  31, serial-counter =  671
donut number = 3, In-ptr =  27, serial-counter =  627
donut number = 0, In-ptr =  32, serial-counter =  672
donut number = 2, In-ptr =  25, serial-counter =  665
donut number = 2, In-ptr =  26, serial-counter =  666
donut number = 3, In-ptr =  28, serial-counter =  628
donut number = 1, In-ptr =  37, serial-counter =  637
donut number = 3, In-ptr =  29, serial-counter =  629
donut number = 2, In-ptr =  27, serial-counter =  667
donut number = 2, In-ptr =  28, serial-counter =  668
donut number = 2, In-ptr =  29, serial-counter =  669
donut number = 2, In-ptr =  30, serial-counter =  670
donut number = 3, In-ptr =  30, serial-counter =  630
donut number = 1, In-ptr =  38, serial-counter =  638
donut number = 1, In-ptr =  39, serial-counter =  639
donut number = 3, In-ptr =  31, serial-counter =  631
donut number = 1, In-ptr =  0, serial-counter =  640
donut number = 2, In-ptr =  31, serial-counter =  671
donut number = 2, In-ptr =  32, serial-counter =  672
donut number = 3, In-ptr =  32, serial-counter =  632
donut number = 3, In-ptr =  33, serial-counter =  633
donut number = 2, In-ptr =  33, serial-counter =  673
donut number = 3, In-ptr =  34, serial-counter =  634
donut number = 3, In-ptr =  35, serial-counter =  635
donut number = 2, In-ptr =  34, serial-counter =  674
donut number = 0, In-ptr =  33, serial-counter =  673
donut number = 2, In-ptr =  35, serial-counter =  675
donut number = 2, In-ptr =  36, serial-counter =  676
donut number = 0, In-ptr =  34, serial-counter =  674
donut number = 3, In-ptr =  36, serial-counter =  636
donut number = 1, In-ptr =  1, serial-counter =  641
donut number = 0, In-ptr =  35, serial-counter =  675
donut number = 2, In-ptr =  37, serial-counter =  677
donut number = 3, In-ptr =  37, serial-counter =  637
donut number = 1, In-ptr =  2, serial-counter =  642
donut number = 3, In-ptr =  38, serial-counter =  638
donut number = 2, In-ptr =  38, serial-counter =  678
donut number = 1, In-ptr =  3, serial-counter =  643
donut number = 0, In-ptr =  36, serial-counter =  676
donut number = 3, In-ptr =  39, serial-counter =  639
donut number = 1, In-ptr =  4, serial-counter =  644
donut number = 0, In-ptr =  37, serial-counter =  677
donut number = 2, In-ptr =  39, serial-counter =  679
donut number = 2, In-ptr =  0, serial-counter =  680
donut number = 1, In-ptr =  5, serial-counter =  645
donut number = 0, In-ptr =  38, serial-counter =  678
donut number = 3, In-ptr =  0, serial-counter =  640
donut number = 3, In-ptr =  1, serial-counter =  641
donut number = 3, In-ptr =  2, serial-counter =  642
donut number = 2, In-ptr =  1, serial-counter =  681
donut number = 0, In-ptr =  39, serial-counter =  679
donut number = 0, In-ptr =  0, serial-counter =  680
donut number = 0, In-ptr =  1, serial-counter =  681
donut number = 2, In-ptr =  2, serial-counter =  682
donut number = 3, In-ptr =  3, serial-counter =  643
donut number = 0, In-ptr =  2, serial-counter =  682
donut number = 1, In-ptr =  6, serial-counter =  646
donut number = 2, In-ptr =  3, serial-counter =  683
donut number = 0, In-ptr =  3, serial-counter =  683
donut number = 3, In-ptr =  4, serial-counter =  644
donut number = 1, In-ptr =  7, serial-counter =  647
donut number = 0, In-ptr =  4, serial-counter =  684
donut number = 2, In-ptr =  4, serial-counter =  684
donut number = 1, In-ptr =  8, serial-counter =  648
donut number = 2, In-ptr =  5, serial-counter =  685
donut number = 0, In-ptr =  5, serial-counter =  685
donut number = 0, In-ptr =  6, serial-counter =  686
donut number = 1, In-ptr =  9, serial-counter =  649
donut number = 1, In-ptr =  10, serial-counter =  650
donut number = 0, In-ptr =  7, serial-counter =  687
donut number = 2, In-ptr =  6, serial-counter =  686
donut number = 2, In-ptr =  7, serial-counter =  687
donut number = 0, In-ptr =  8, serial-counter =  688
donut number = 3, In-ptr =  5, serial-counter =  645
donut number = 0, In-ptr =  9, serial-counter =  689
donut number = 1, In-ptr =  11, serial-counter =  651
donut number = 1, In-ptr =  12, serial-counter =  652
donut number = 1, In-ptr =  13, serial-counter =  653
donut number = 1, In-ptr =  14, serial-counter =  654
donut number = 2, In-ptr =  8, serial-counter =  688
donut number = 2, In-ptr =  9, serial-counter =  689
donut number = 0, In-ptr =  10, serial-counter =  690
donut number = 0, In-ptr =  11, serial-counter =  691
donut number = 2, In-ptr =  10, serial-counter =  690
donut number = 0, In-ptr =  12, serial-counter =  692
donut number = 2, In-ptr =  11, serial-counter =  691
donut number = 0, In-ptr =  13, serial-counter =  693
donut number = 2, In-ptr =  12, serial-counter =  692
donut number = 2, In-ptr =  13, serial-counter =  693
donut number = 3, In-ptr =  6, serial-counter =  646
donut number = 3, In-ptr =  7, serial-counter =  647
donut number = 1, In-ptr =  15, serial-counter =  655
donut number = 2, In-ptr =  14, serial-counter =  694
donut number = 2, In-ptr =  15, serial-counter =  695
donut number = 2, In-ptr =  16, serial-counter =  696
donut number = 0, In-ptr =  14, serial-counter =  694
donut number = 1, In-ptr =  16, serial-counter =  656
donut number = 1, In-ptr =  17, serial-counter =  657
donut number = 0, In-ptr =  15, serial-counter =  695
donut number = 2, In-ptr =  17, serial-counter =  697
donut number = 0, In-ptr =  16, serial-counter =  696
donut number = 1, In-ptr =  18, serial-counter =  658
donut number = 0, In-ptr =  17, serial-counter =  697
donut number = 0, In-ptr =  18, serial-counter =  698
donut number = 3, In-ptr =  8, serial-counter =  648
donut number = 0, In-ptr =  19, serial-counter =  699
donut number = 0, In-ptr =  20, serial-counter =  700
donut number = 3, In-ptr =  9, serial-counter =  649
donut number = 0, In-ptr =  21, serial-counter =  701
donut number = 1, In-ptr =  19, serial-counter =  659
donut number = 0, In-ptr =  22, serial-counter =  702
donut number = 1, In-ptr =  20, serial-counter =  660
donut number = 2, In-ptr =  18, serial-counter =  698
donut number = 2, In-ptr =  19, serial-counter =  699
donut number = 0, In-ptr =  23, serial-counter =  703
donut number = 3, In-ptr =  10, serial-counter =  650
donut number = 0, In-ptr =  24, serial-counter =  704
donut number = 1, In-ptr =  21, serial-counter =  661
donut number = 0, In-ptr =  25, serial-counter =  705
donut number = 0, In-ptr =  26, serial-counter =  706
donut number = 0, In-ptr =  27, serial-counter =  707
donut number = 1, In-ptr =  22, serial-counter =  662
donut number = 2, In-ptr =  20, serial-counter =  700
donut number = 0, In-ptr =  28, serial-counter =  708
donut number = 0, In-ptr =  29, serial-counter =  709
donut number = 1, In-ptr =  23, serial-counter =  663
donut number = 1, In-ptr =  24, serial-counter =  664
donut number = 0, In-ptr =  30, serial-counter =  710
donut number = 0, In-ptr =  31, serial-counter =  711
donut number = 3, In-ptr =  11, serial-counter =  651
donut number = 0, In-ptr =  32, serial-counter =  712
donut number = 1, In-ptr =  25, serial-counter =  665
donut number = 1, In-ptr =  26, serial-counter =  666
donut number = 3, In-ptr =  12, serial-counter =  652
donut number = 2, In-ptr =  21, serial-counter =  701
donut number = 0, In-ptr =  33, serial-counter =  713
donut number = 2, In-ptr =  22, serial-counter =  702
donut number = 3, In-ptr =  13, serial-counter =  653
donut number = 2, In-ptr =  23, serial-counter =  703
donut number = 0, In-ptr =  34, serial-counter =  714
donut number = 2, In-ptr =  24, serial-counter =  704
donut number = 3, In-ptr =  14, serial-counter =  654
donut number = 0, In-ptr =  35, serial-counter =  715
donut number = 0, In-ptr =  36, serial-counter =  716
donut number = 3, In-ptr =  15, serial-counter =  655
donut number = 2, In-ptr =  25, serial-counter =  705
donut number = 3, In-ptr =  16, serial-counter =  656
donut number = 0, In-ptr =  37, serial-counter =  717
donut number = 3, In-ptr =  17, serial-counter =  657
donut number = 3, In-ptr =  18, serial-counter =  658
donut number = 1, In-ptr =  27, serial-counter =  667
donut number = 3, In-ptr =  19, serial-counter =  659
donut number = 0, In-ptr =  38, serial-counter =  718
donut number = 2, In-ptr =  26, serial-counter =  706
donut number = 0, In-ptr =  39, serial-counter =  719
donut number = 0, In-ptr =  0, serial-counter =  720
donut number = 2, In-ptr =  27, serial-counter =  707
donut number = 3, In-ptr =  20, serial-counter =  660
donut number = 3, In-ptr =  21, serial-counter =  661
donut number = 1, In-ptr =  28, serial-counter =  668
donut number = 1, In-ptr =  29, serial-counter =  669
donut number = 2, In-ptr =  28, serial-counter =  708
donut number = 2, In-ptr =  29, serial-counter =  709
donut number = 2, In-ptr =  30, serial-counter =  710
donut number = 3, In-ptr =  22, serial-counter =  662
donut number = 2, In-ptr =  31, serial-counter =  711
donut number = 3, In-ptr =  23, serial-counter =  663
donut number = 3, In-ptr =  24, serial-counter =  664
donut number = 1, In-ptr =  30, serial-counter =  670
donut number = 0, In-ptr =  1, serial-counter =  721
donut number = 3, In-ptr =  25, serial-counter =  665
donut number = 0, In-ptr =  2, serial-counter =  722
donut number = 2, In-ptr =  32, serial-counter =  712
donut number = 3, In-ptr =  26, serial-counter =  666
donut number = 0, In-ptr =  3, serial-counter =  723
donut number = 1, In-ptr =  31, serial-counter =  671
donut number = 1, In-ptr =  32, serial-counter =  672
donut number = 0, In-ptr =  4, serial-counter =  724
donut number = 1, In-ptr =  33, serial-counter =  673
donut number = 2, In-ptr =  33, serial-counter =  713
donut number = 1, In-ptr =  34, serial-counter =  674
donut number = 0, In-ptr =  5, serial-counter =  725
donut number = 3, In-ptr =  27, serial-counter =  667
donut number = 3, In-ptr =  28, serial-counter =  668
donut number = 3, In-ptr =  29, serial-counter =  669
donut number = 3, In-ptr =  30, serial-counter =  670
donut number = 3, In-ptr =  31, serial-counter =  671
donut number = 1, In-ptr =  35, serial-counter =  675
donut number = 0, In-ptr =  6, serial-counter =  726
donut number = 2, In-ptr =  34, serial-counter =  714
donut number = 3, In-ptr =  32, serial-counter =  672
donut number = 0, In-ptr =  7, serial-counter =  727
donut number = 1, In-ptr =  36, serial-counter =  676
donut number = 1, In-ptr =  37, serial-counter =  677
donut number = 1, In-ptr =  38, serial-counter =  678
donut number = 1, In-ptr =  39, serial-counter =  679
donut number = 3, In-ptr =  33, serial-counter =  673
donut number = 2, In-ptr =  35, serial-counter =  715
donut number = 0, In-ptr =  8, serial-counter =  728
donut number = 0, In-ptr =  9, serial-counter =  729
donut number = 0, In-ptr =  10, serial-counter =  730
donut number = 2, In-ptr =  36, serial-counter =  716
donut number = 1, In-ptr =  0, serial-counter =  680
donut number = 3, In-ptr =  34, serial-counter =  674
donut number = 0, In-ptr =  11, serial-counter =  731
donut number = 1, In-ptr =  1, serial-counter =  681
donut number = 1, In-ptr =  2, serial-counter =  682
donut number = 3, In-ptr =  35, serial-counter =  675
donut number = 0, In-ptr =  12, serial-counter =  732
donut number = 2, In-ptr =  37, serial-counter =  717
donut number = 2, In-ptr =  38, serial-counter =  718
donut number = 3, In-ptr =  36, serial-counter =  676
donut number = 3, In-ptr =  37, serial-counter =  677
donut number = 1, In-ptr =  3, serial-counter =  683
donut number = 3, In-ptr =  38, serial-counter =  678
donut number = 2, In-ptr =  39, serial-counter =  719
donut number = 3, In-ptr =  39, serial-counter =  679
donut number = 0, In-ptr =  13, serial-counter =  733
donut number = 2, In-ptr =  0, serial-counter =  720
donut number = 3, In-ptr =  0, serial-counter =  680
donut number = 3, In-ptr =  1, serial-counter =  681
donut number = 1, In-ptr =  4, serial-counter =  684
donut number = 1, In-ptr =  5, serial-counter =  685
donut number = 1, In-ptr =  6, serial-counter =  686
donut number = 3, In-ptr =  2, serial-counter =  682
donut number = 2, In-ptr =  1, serial-counter =  721
donut number = 2, In-ptr =  2, serial-counter =  722
donut number = 1, In-ptr =  7, serial-counter =  687
donut number = 0, In-ptr =  14, serial-counter =  734
donut number = 0, In-ptr =  15, serial-counter =  735
donut number = 0, In-ptr =  16, serial-counter =  736
donut number = 3, In-ptr =  3, serial-counter =  683
donut number = 3, In-ptr =  4, serial-counter =  684
donut number = 2, In-ptr =  3, serial-counter =  723
donut number = 2, In-ptr =  4, serial-counter =  724
donut number = 1, In-ptr =  8, serial-counter =  688
donut number = 0, In-ptr =  17, serial-counter =  737
donut number = 2, In-ptr =  5, serial-counter =  725
donut number = 3, In-ptr =  5, serial-counter =  685
donut number = 0, In-ptr =  18, serial-counter =  738
donut number = 0, In-ptr =  19, serial-counter =  739
donut number = 2, In-ptr =  6, serial-counter =  726
